"Test","p_value"
"Factor B",0.0185999999999999
"Factor B",0.6886
"Factor B",0.859
"Factor B",0.6554
"Factor B",0.5229
"Factor B",0.1262
"Factor B",0.3237
"Factor B",0.8706
"Factor B",0.4274
"Factor B",0.7466
"Factor B",0.2873
"Factor B",0.4184
"Factor B",0.5237
"Factor B",0.1801
"Factor B",0.3572
"Factor B",0.382
"Factor B",0.5039
"Factor B",0.2818
"Factor B",0.7532
"Factor B",0.00419999999999998
"Factor B",0.6247
"Factor B",0.884
"Factor B",0.462
"Factor B",0.4122
"Factor B",0.2411
"Factor B",0.921
"Factor B",0.6672
"Factor B",0.5365
"Factor B",0.9735
"Factor B",0.0678
"Factor B",0.6956
"Factor B",0.7088
"Factor B",0.2924
"Factor B",0.5399
"Factor B",0.2063
"Factor B",0.4579
"Factor B",0.0431
"Factor B",0.6131
"Factor B",0.3896
"Factor B",0.9833
"Factor B",0.8945
"Factor B",0.7817
"Factor B",0.1272
"Factor B",0.5726
"Factor B",0.433
"Factor B",0.2408
"Factor B",0.9994
"Factor B",0.2724
"Factor B",0.5575
"Factor B",0.4984
"Factor B",0.3178
"Factor B",0.2988
"Factor B",0.4372
"Factor B",0.0828
"Factor B",0.093
"Factor B",0.5601
"Factor B",0.6809
"Factor B",0.7172
"Factor B",0.2165
"Factor B",0.3526
"Factor B",0.6315
"Factor B",0.4434
"Factor B",0.8266
"Factor B",0.275
"Factor B",0.6492
"Factor B",0.882
"Factor B",0.8294
"Factor B",0.206
"Factor B",0.7687
"Factor B",0.7384
"Factor B",0.0174
"Factor B",0.8067
"Factor B",0.4862
"Factor B",0.2094
"Factor B",0.6199
"Factor B",0.6115
"Factor B",0.9831
"Factor B",0.7859
"Factor B",0.6463
"Factor B",0.4103
"Factor B",0.5016
"Factor B",0.046
"Factor B",0.0387
"Factor B",0.1402
"Factor B",0.307
"Factor B",0.0382
"Factor B",0.1271
"Factor B",0.9035
"Factor B",0.8354
"Factor B",0.3506
"Factor B",0.8712
"Factor B",0.276
"Factor B",0.392
"Factor B",0.7432
"Factor B",0.284
"Factor B",0.9021
"Factor B",0.5575
"Factor B",0.3904
"Factor B",0.8703
"Factor B",0.2646
"Factor B",0.7036
"Factor B",0.0091
"Factor B",0.6077
"Factor B",0.9676
"Factor B",0.1026
"Factor B",0.8269
"Factor B",0.835
"Factor B",0.3951
"Factor B",0.6119
"Factor B",0.8525
"Factor B",0.0873
"Factor B",0.967
"Factor B",0.7448
"Factor B",0.3943
"Factor B",0.928
"Factor B",0.2064
"Factor B",0.5008
"Factor B",0.7792
"Factor B",0.1452
"Factor B",0.4594
"Factor B",0.771
"Factor B",0.0953000000000001
"Factor B",0.1495
"Factor B",0.7577
"Factor B",0.563
"Factor B",0.4259
"Factor B",0.123
"Factor B",0.0227000000000001
"Factor B",0.6475
"Factor B",0.6838
"Factor B",0.8074
"Factor B",0.4433
"Factor B",0.193
"Factor B",0.5975
"Factor B",0.0401
"Factor B",0.5658
"Factor B",0.5045
"Factor B",0.9009
"Factor B",0.8201
"Factor B",0.00849999999999995
"Factor B",0.6057
"Factor B",0.5231
"Factor B",0.0149
"Factor B",0.5623
"Factor B",0.2809
"Factor B",0.00229999999999997
"Factor B",0.9616
"Factor B",0.5334
"Factor B",0.7867
"Factor B",0.7564
"Factor B",0.1173
"Factor B",0.6947
"Factor B",0.5115
"Factor B",0.9523
"Factor B",0.395
"Factor B",0.1969
"Factor B",0.558
"Factor B",0.6561
"Factor B",0.9248
"Factor B",0.433
"Factor B",0.1809
"Factor B",0.0721000000000001
"Factor B",0.9987
"Factor B",0.1202
"Factor B",0.1479
"Factor B",0.8578
"Factor B",0.3894
"Factor B",0.00509999999999999
"Factor B",0.0528999999999999
"Factor B",0.7781
"Factor B",0.956
"Factor B",0.5628
"Factor B",0.9822
"Factor B",0.2616
"Factor B",0.6937
"Factor B",0.4798
"Factor B",0.5499
"Factor B",0.0657
"Factor B",0.1454
"Factor B",0.000299999999999967
"Factor B",0.6079
"Factor B",0.9071
"Factor B",0.2805
"Factor B",0.2138
"Factor B",0.2395
"Factor B",0.2465
"Factor B",0.6075
"Factor B",0.6688
"Factor B",0.4895
"Factor B",0.5934
"Factor B",0.9646
"Factor B",0.9997
"Factor B",0.191
"Factor B",0.2635
"Factor B",0.8764
"Factor B",0.1928
"Factor B",0.5227
"Factor B",0.8826
"Factor B",0.6246
"Factor B",0.3853
"Factor B",0.7353
"Factor B",0.4909
"Factor B",0.0790999999999999
"Factor B",0.5861
"Factor B",0.3134
"Factor B",0.7528
"Factor B",0.6703
"Factor B",0.9448
"Factor B",0.2258
"Factor B",0.8856
"Factor B",0.1064
"Factor B",0.2986
"Factor B",0.9678
"Factor B",0.3961
"Factor B",0.1966
"Factor B",0.0691000000000001
"Factor B",0.1125
"Factor B",0.7989
"Factor B",0.6199
"Factor B",0.6076
"Factor B",0.3821
"Factor B",0.3276
"Factor B",0.1299
"Factor B",0.2048
"Factor B",0.2762
"Factor B",0.6617
"Factor B",0.974
"Factor B",0.7593
"Factor B",0.5406
"Factor B",0.8139
"Factor B",0.0790999999999999
"Factor B",0.8273
"Factor B",0.8786
"Factor B",0.5759
"Factor B",0.5007
"Factor B",0.1459
"Factor B",0.3065
"Factor B",0.8568
"Factor B",0.9481
"Factor B",0.4331
"Factor B",0.5545
"Factor B",0.5886
"Factor B",0.3969
"Factor B",0.8343
"Factor B",0.9466
"Factor B",0.1373
"Factor B",0.2438
"Factor B",0.0264
"Factor B",0.7935
"Factor B",0.858
"Factor B",0.7512
"Factor B",0.895
"Factor B",0.7138
"Factor B",0.6627
"Factor B",0.3765
"Factor B",0.6675
"Factor B",0.6752
"Factor B",0.5314
"Factor B",0.3322
"Factor B",0.4755
"Factor B",0.5857
"Factor B",0.1222
"Factor B",0.7106
"Factor B",0.5835
"Factor B",0.0839
"Factor B",0.2562
"Factor B",0.5412
"Factor B",0.1615
"Factor B",0.9141
"Factor B",0.6729
"Factor B",0.1251
"Factor B",0.4113
"Factor B",0.9126
"Factor B",0.3454
"Factor B",0.4667
"Factor B",0.3385
"Factor B",0.827
"Factor B",0.0263
"Factor B",0.7223
"Factor B",0.3715
"Factor B",0.0286
"Factor B",0.9349
"Factor B",0.857
"Factor B",0.6262
"Factor B",0.1108
"Factor B",0.5012
"Factor B",0.93
"Factor B",0.9978
"Factor B",0.94
"Factor B",0.4227
"Factor B",0.0716
"Factor B",0.3056
"Factor B",0.2689
"Factor B",0.2916
"Factor B",0.3831
"Factor B",0.2688
"Factor B",0.6872
"Factor B",0.4316
"Factor B",0.4289
"Factor B",0.5105
"Factor B",0.1749
"Factor B",0.6788
"Factor B",0.86
"Factor B",0.8405
"Factor B",0.3003
"Factor B",0.5243
"Factor B",0.7321
"Factor B",0.1914
"Factor B",0.8504
"Factor B",0.7829
"Factor B",0.9187
"Factor B",0.2726
"Factor B",0.4083
"Factor B",0.7706
"Factor B",0.9347
"Factor B",0.2409
"Factor B",0.5598
"Factor B",0.8902
"Factor B",0.8117
"Factor B",0.5439
"Factor B",0.3581
"Factor B",0.8338
"Factor B",0.0417
"Factor B",0.2287
"Factor B",0.2885
"Factor B",0.0266999999999999
"Factor B",0.1954
"Factor B",0.1557
"Factor B",0.4651
"Factor B",0.961
"Factor B",0.4766
"Factor B",0.7907
"Factor B",0.7718
"Factor B",0.9737
"Factor B",0.2632
"Factor B",0.2612
"Factor B",0.6745
"Factor B",0.4889
"Factor B",0.6127
"Factor B",0.9292
"Factor B",0.792
"Factor B",0.5155
"Factor B",0.1848
"Factor B",0.5601
"Factor B",0.8415
"Factor B",0.5048
"Factor B",0.8552
"Factor B",0.8447
"Factor B",0.7211
"Factor B",0.9373
"Factor B",0.6505
"Factor B",0.4911
"Factor B",0.5194
"Factor B",0.00829999999999997
"Factor B",0.2363
"Factor B",0.0266
"Factor B",0.4221
"Factor B",0.215
"Factor B",0.6287
"Factor B",0.7743
"Factor B",0.5579
"Factor B",0.2805
"Factor B",0.0467
"Factor B",0.3692
"Factor B",0.5183
"Factor B",0.6256
"Factor B",0.1393
"Factor B",0.484
"Factor B",0.8449
"Factor B",0.3984
"Factor B",0.6432
"Factor B",0.0599
"Factor B",0.9524
"Factor B",0.147
"Factor B",0.0144
"Factor B",0.7945
"Factor B",0.2421
"Factor B",0.7006
"Factor B",0.3047
"Factor B",0.0243
"Factor B",0.037
"Factor B",0.1242
"Factor B",0.4511
"Factor B",0.7024
"Factor B",0.0471
"Factor B",0.7843
"Factor B",0.7446
"Factor B",0.6568
"Factor B",0.1641
"Factor B",0.0468
"Factor B",0.3373
"Factor B",0.535
"Factor B",0.3377
"Factor B",0.7888
"Factor B",0.2839
"Factor B",0.4642
"Factor B",0.8048
"Factor B",0.8813
"Factor B",0.7133
"Factor B",0.0929
"Factor B",0.2896
"Factor B",0.415
"Factor B",0.136
"Factor B",0.0272
"Factor B",0.0248
"Factor B",0.897
"Factor B",0.7899
"Factor B",0.6001
"Factor B",0.7019
"Factor B",0.0273
"Factor B",0.916
"Factor B",0.54
"Factor B",0.0445
"Factor B",0.5075
"Factor B",0.5228
"Factor B",0.5117
"Factor B",0.7052
"Factor B",0.8484
"Factor B",0.8066
"Factor B",0.5814
"Factor B",0.4193
"Factor B",0.8463
"Factor B",0.9233
"Factor B",0.2474
"Factor B",0.7703
"Factor B",0.3892
"Factor B",0.4162
"Factor B",0.8191
"Factor B",0.2523
"Factor B",0.1664
"Factor B",0.005
"Factor B",0.6359
"Factor B",0.8721
"Factor B",0.8548
"Factor B",0.1353
"Factor B",0.644
"Factor B",0.9164
"Factor B",0.3353
"Factor B",0.0726
"Factor B",0.4301
"Factor B",0.9334
"Factor B",0.8736
"Factor B",0.6225
"Factor B",0.1158
"Factor B",0.1531
"Factor B",0.478
"Factor B",0.532
"Factor B",0.7964
"Factor B",0.6675
"Factor B",0.9242
"Factor B",0.3575
"Factor B",0.078
"Factor B",0.1793
"Factor B",0.9663
"Factor B",0.1109
"Factor B",0.6254
"Factor B",0.0177
"Factor B",0.8844
"Factor B",0.1989
"Factor B",0.6878
"Factor B",0.7357
"Factor B",0.6953
"Factor B",0.1233
"Factor B",0.6737
"Factor B",0.4495
"Factor B",0.6618
"Factor B",0.9533
"Factor B",0.1589
"Factor B",0.2657
"Factor B",0.3092
"Factor B",0.2414
"Factor B",0.7429
"Factor B",0.7542
"Factor B",0.6789
"Factor B",0.8994
"Factor B",0.5468
"Factor B",0.0116000000000001
"Factor B",0.7428
"Factor B",0.6472
"Factor B",0.6534
"Factor B",0.748
"Factor B",0.9998
"Factor B",0.0765
"Factor B",0.8427
"Factor B",0.9051
"Factor B",0.3817
"Factor B",0.8096
"Factor B",0.1435
"Factor B",0.958
"Factor B",0.5371
"Factor B",0.3871
"Factor B",0.9971
"Factor B",0.416
"Factor B",0.9293
"Factor B",0.2317
"Factor B",0.5168
"Factor B",0.6064
"Factor B",0.2081
"Factor B",0.6508
"Factor B",0.9224
"Factor B",0.3924
"Factor B",0.1513
"Factor B",0.9308
"Factor B",0.6529
"Factor B",0.9287
"Factor B",0.22
"Factor B",0.6651
"Factor B",0.8365
"Factor B",0.4083
"Factor B",0.5191
"Factor B",0.6032
"Factor B",0.3299
"Factor B",0.2649
"Factor B",0.3314
"Factor B",0.7966
"Factor B",0.405
"Factor B",0.2503
"Factor B",0.8273
"Factor B",0.378
"Factor B",0.7133
"Factor B",0.0779
"Factor B",0.7064
"Factor B",0.6203
"Factor B",0.6258
"Factor B",0.9981
"Factor B",0.0233
"Factor B",0.1571
"Factor B",0.5472
"Factor B",0.9453
"Factor B",0.7707
"Factor B",0.8532
"Factor B",0.2616
"Factor B",0.6716
"Factor B",0.3574
"Factor B",0.2538
"Factor B",0.1135
"Factor B",0.9559
"Factor B",0.357
"Factor B",0.1808
"Factor B",0.503
"Factor B",0.6735
"Factor B",0.0610000000000001
"Factor B",0.465
"Factor B",0.1738
"Factor B",0.7199
"Factor B",0.0901999999999999
"Factor B",0.4207
"Factor B",0.098
"Factor B",0.7757
"Factor B",0.204
"Factor B",0.7245
"Factor B",0.7912
"Factor B",0.9174
"Factor B",0.5051
"Factor B",0.7143
"Factor B",0.4585
"Factor B",0.4717
"Factor B",0.6845
"Factor B",0.0641
"Factor B",0.1462
"Factor B",0.0372
"Factor B",0.4018
"Factor B",0.3147
"Factor B",0.6596
"Factor B",0.3249
"Factor B",0.0601
"Factor B",0.1506
"Factor B",0.1797
"Factor B",0.2646
"Factor B",0.9638
"Factor B",0.183
"Factor B",0.3582
"Factor B",0.2828
"Factor B",0.1244
"Factor B",0.00270000000000004
"Factor B",0.1795
"Factor B",0.2417
"Factor B",0.1211
"Factor B",0.1225
"Factor B",0.7913
"Factor B",0.4803
"Factor B",0.1374
"Factor B",0.2209
"Factor B",0.3503
"Factor B",0.1882
"Factor B",0.8341
"Factor B",0.5549
"Factor B",0.8152
"Factor B",0.6058
"Factor B",0.7398
"Factor B",0.2529
"Factor B",0.1365
"Factor B",0.2103
"Factor B",0.1091
"Factor B",0.6407
"Factor B",0.8747
"Factor B",0.1808
"Factor B",0.4875
"Factor B",0.8618
"Factor B",0.5091
"Factor B",0.2655
"Factor B",0.909
"Factor B",0.5332
"Factor B",0.736
"Factor B",0.3759
"Factor B",0.0551
"Factor B",0.4301
"Factor B",0.5741
"Factor B",0.4409
"Factor B",0.6544
"Factor B",0.9484
"Factor B",0.9521
"Factor B",0.9827
"Factor B",0.7098
"Factor B",0.913
"Factor B",0.8662
"Factor B",0.0785
"Factor B",0.3003
"Factor B",0.0655
"Factor B",0.9035
"Factor B",0.9283
"Factor B",0.5505
"Factor B",0.2962
"Factor B",0.9333
"Factor B",0.5916
"Factor B",0.1476
"Factor B",0.0272
"Factor B",0.5292
"Factor B",0.4932
"Factor B",0.4532
"Factor B",0.7587
"Factor B",0.8091
"Factor B",0.4251
"Factor B",0.0234
"Factor B",0.1399
"Factor B",0.0291
"Factor B",0.0249
"Factor B",0.4188
"Factor B",0.9394
"Factor B",0.2436
"Factor B",0.8982
"Factor B",0.315
"Factor B",0.3168
"Factor B",0.1999
"Factor B",0.5561
"Factor B",0.1201
"Factor B",0.7308
"Factor B",0.2786
"Factor B",0.9711
"Factor B",0.6312
"Factor B",0.5326
"Factor B",0.4845
"Factor B",0.8071
"Factor B",0.924
"Factor B",0.3318
"Factor B",0.5923
"Factor B",0.6161
"Factor B",0.2702
"Factor B",0.4372
"Factor B",0.1376
"Factor B",0.9259
"Factor B",0.8093
"Factor B",0.9807
"Factor B",0.6675
"Factor B",0.8382
"Factor B",0.3577
"Factor B",0.4234
"Factor B",0.5333
"Factor B",0.4299
"Factor B",0.1811
"Factor B",0.4785
"Factor B",0.4435
"Factor B",0.5414
"Factor B",0.0362
"Factor B",0.777
"Factor B",0.2346
"Factor B",0.4248
"Factor B",0.2668
"Factor B",0.8383
"Factor B",0.7673
"Factor B",0.9437
"Factor B",0.6601
"Factor B",0.1495
"Factor B",0.4267
"Factor B",0.8404
"Factor B",0.6001
"Factor B",0.5319
"Factor B",0.4704
"Factor B",0.641
"Factor B",0.4864
"Factor B",0.6178
"Factor B",0.0334
"Factor B",0.5052
"Factor B",0.4667
"Factor B",0.512
"Factor B",0.0343
"Factor B",0.7078
"Factor B",0.0112
"Factor B",0.5088
"Factor B",0.134
"Factor B",0.0787
"Factor B",0.8016
"Factor B",0.8697
"Factor B",0.6175
"Factor B",0.358
"Factor B",0.7138
"Factor B",0.4766
"Factor B",0.8789
"Factor B",0.9525
"Factor B",0.7329
"Factor B",0.1298
"Factor B",0.7017
"Factor B",0.4679
"Factor B",0.6754
"Factor B",0.3099
"Factor B",0.1282
"Factor B",0.0780999999999999
"Factor B",0.7953
"Factor B",0.0973000000000001
"Factor B",0.7116
"Factor B",0.7983
"Factor B",0.3642
"Factor B",0.6751
"Factor B",0.4675
"Factor B",0.5058
"Factor B",0.3145
"Factor B",0.6271
"Factor B",0.1197
"Factor B",0.6123
"Factor B",0.6958
"Factor B",0.3415
"Factor B",0.1087
"Factor B",0.2268
"Factor B",0.6366
"Factor B",0.2091
"Factor B",0.8951
"Factor B",0.7618
"Factor B",0.5979
"Factor B",0.5933
"Factor B",0.3271
"Factor B",0.9267
"Factor B",0.8693
"Factor B",0.5813
"Factor B",0.4769
"Factor B",0.328
"Factor B",0.0581
"Factor B",0.9588
"Factor B",0.7765
"Factor B",0.8152
"Factor B",0.0679
"Factor B",0.877
"Factor B",0.5982
"Factor B",0.8334
"Factor B",0.3326
"Factor B",0.4869
"Factor B",0.9917
"Factor B",0.7807
"Factor B",0.1079
"Factor B",0.2428
"Factor B",0.1546
"Factor B",0.1336
"Factor B",0.9886
"Factor B",0.9804
"Factor B",0.7619
"Factor B",0.2485
"Factor B",0.7988
"Factor B",0.9066
"Factor B",0.3656
"Factor B",0.3229
"Factor B",0.5193
"Factor B",0.0817
"Factor B",0.1746
"Factor B",0.0183
"Factor B",0.7049
"Factor B",0.1262
"Factor B",0.827
"Factor B",0.8092
"Factor B",0.2199
"Factor B",0.395
"Factor B",0.8569
"Factor B",0.8946
"Factor B",0.2795
"Factor B",0.6763
"Factor B",0.2219
"Factor B",0.2693
"Factor B",0.224
"Factor B",0.917
"Factor B",0.4936
"Factor B",0.5522
"Factor B",0.6157
"Factor B",0.7555
"Factor B",0.2927
"Factor B",0.2132
"Factor B",0.7376
"Factor B",0.0728
"Factor B",0.9422
"Factor B",0.5283
"Factor B",0.4608
"Factor B",0.2616
"Factor B",0.1588
"Factor B",0.9
"Factor B",0.6186
"Factor B",0.6001
"Factor B",0.3923
"Factor B",0.9398
"Factor B",0.4473
"Factor B",0.5285
"Factor B",0.8226
"Factor B",0.6396
"Factor B",0.1202
"Factor B",0.7317
"Factor B",0.8607
"Factor B",0.1925
"Factor B",0.2288
"Factor B",0.6195
"Factor B",0.1625
"Factor B",0.4132
"Factor B",0.305
"Factor B",0.1818
"Factor B",0.00339999999999996
"Factor B",0.2275
"Factor B",0.5151
"Factor B",0.2046
"Factor B",0.5811
"Factor B",0.6786
"Factor B",0.6535
"Factor B",0.2288
"Factor B",0.5014
"Factor B",0.8188
"Factor B",0.8672
"Factor B",0.4366
"Factor B",0.1274
"Factor B",0.7782
"Factor B",0.6675
"Factor B",0.1542
"Factor B",0.3805
"Factor B",0.3892
"Factor B",0.8246
"Factor B",0.6078
"Factor B",0.643
"Factor B",0.3197
"Factor B",0.6738
"Factor B",0.989
"Factor B",0.5892
"Factor B",0.554
"Factor B",0.2566
"Factor B",0.7198
"Factor B",0.9305
"Factor B",0.3387
"Factor B",0.2395
"Factor B",0.8895
"Factor B",0.7668
"Factor B",0.7143
"Factor B",0.0273
"Factor B",0.5257
"Factor B",0.0851
"Factor B",0.1836
"Factor B",0.7177
"Factor B",0.2977
"Factor B",0.8518
"Factor B",0.7462
"Factor B",0.9451
"Factor B",0.2628
"Factor B",0.5078
"Factor B",0.355
"Factor B",0.6358
"Factor B",0.6378
"Factor B",0.071
"Factor B",0.5411
"Factor B",0.4363
"Factor B",0.2246
"Factor B",0.6768
"Factor B",0.0713
"Factor B",0.9654
"Factor B",0.5944
"Factor B",0.1393
"Factor B",0.2757
"Factor B",0.2282
"Factor B",0.8548
"Factor B",0.7012
"Factor B",0.6377
"Factor B",0.6994
"Factor B",0.0868
"Factor B",0.3675
"Factor B",0.725
"Factor B",0.3334
"Factor B",0.5332
"Factor B",0.3845
"Factor B",0.1604
"Factor B",0.9641
"Factor B",0.1595
"Factor B",0.98
"Factor B",0.6647
"Factor B",0.0224
"Factor B",0.0778
"Factor B",0.8001
"Factor B",0.0369
"Factor B",0.4105
"Factor B",0.031
"Factor B",0.0266
"Factor B",0.6251
"Factor B",0.3918
"Factor B",0.5099
"Factor B",0.2492
"Factor B",0.7487
"Factor B",0.3191
"Factor B",0.6182
"Factor B",0.2031
"Factor B",0.3599
"Factor B",0.6976
"Factor B",0.347
"Factor B",0.9365
"Factor B",0.1846
"Factor B",0.9574
"Factor B",0.2709
"Factor B",0.6768
"Factor B",0.5234
"Factor B",0.162
"Factor B",0.3736
"Factor B",0.8327
"Factor B",0.6443
"Factor B",0.3653
"Factor B",0.4788
"Factor B",0.00690000000000002
"Factor B",0.8744
"Factor B",0.3938
"Factor B",0.4311
"Factor B",0.2935
"Factor B",0.9406
"Factor B",0.1087
"Factor B",0.0517
"Factor B",0.9309
"Factor B",0.121
"Factor B",0.9304
"Factor B",0.9598
"Factor B",0.2017
"Factor B",0.9095
"Factor B",0.7683
"Factor B",0.4736
"Factor B",0.4181
"Factor B",0.0651
"Factor B",0.1253
"Factor B",0.6977
"Factor B",0.001
"Factor B",0.0985
"Factor B",0.5582
"Factor B",0.4119
"Factor B",0.126
"Factor B",0.1584
"Factor B",0.8555
"Factor B",0.9373
"Factor B",0.1947
"Factor B",0.1055
"Factor B",0.0629
"Factor B",0.696
"Factor B",0.5482
"Factor B",0.628
"Factor B",0.1094
"Factor B",0.1834
"Factor B",0.7596
"Factor B",0.241
"Factor B",0.4749
"Factor B",0.5117
"Factor B",0.8309
"Factor B",0.5904
"Factor B",0.2987
"Factor B",0.3101
"Factor B",0.6605
"Factor B",0.0676
"Factor B",0.5557
"Factor B",0.8116
"Factor B",0.2989
"Factor B",0.4709
"Factor B",0.0654
"Factor B",0.9807
"Factor B",0.7619
"Factor B",0.7291
"Factor B",0.8322
"Factor B",0.6285
"Factor B",0.7134
"Factor B",0.5902
"Factor B",0.2029
"Factor B",0.2534
"Factor B",0.1188
"Factor B",0.0224
"Factor B",0.3247
"Factor B",0.242
"Factor B",0.5781
"Factor B",0.9395
"Factor B",0.6651
"Factor B",0.3102
"Factor B",0.666
"Factor B",0.3505
"Factor B",0.446
"Factor B",0.4873
"Factor B",0.4237
"Factor B",0.9374
"Factor B",0.9988
"Factor B",0.6659
"Factor B",0.6942
"Factor B",0.5598
"Factor B",0.7448
"Factor B",0.6658
"Factor B",0.5859
"Factor B",0.9298
"Factor B",0.5481
"Factor B",0.0887
"Factor B",0.1108
"Factor B",0.7547
"Factor B",0.9966
"Factor B",0.2647
"Factor B",0.0239
"Factor B",0.4237
"Factor B",0.4917
"Factor B",0.3285
"Factor B",0.6871
"Factor B",0.7521
"Factor B",0.0563
"Factor B",0.8767
"Factor B",0.9725
"Factor B",0.2736
"Factor B",0.9267
"Factor B",0.5433
"Factor B",0.9136
"Factor B",0.00560000000000005
"Factor B",0.9841
"Factor B",0.2045
"Factor B",0.9668
"Factor B",0.6198
"Factor B",0.2055
"Factor B",0.8633
"Factor B",0.4324
"Factor B",0.2342
"Factor B",0.3268
"Factor B",0.8374
"Factor B",0.4522
"Factor B",0.6209
"Factor B",0.6364
"Factor B",0.1585
"Factor B",0.3793
"Factor B",0.2312
"Factor B",0.4971
"Factor B",0.7094
"Factor B",0.3972
"Factor B",0.2456
"Factor B",0.5276
"Factor B",0.6444
"Factor B",0.1456
"Factor B",0.0669
"Factor B",0.9763
"Factor B",0.4517
"Factor B",0.9805
"Factor B",0.1336
"Factor B",0.4686
"Factor B",0.347
"Factor B",0.4692
"Factor B",0.4088
"Factor B",0.7287
"Factor B",0.3052
"Factor B",0.7742
"Factor B",0.3802
"Factor B",0.011
"Factor B",0.6671
"Factor B",0.418
"Factor B",0.5359
"Factor B",0.5786
"Factor B",0.1854
"Factor B",0.453
"Factor B",0.8736
"Factor B",0.2253
"Factor B",0.2502
"Factor B",0.946
"Factor B",0.9793
"Factor B",0.2745
"Factor B",0.4868
"Factor B",0.5428
"Factor B",0.1542
"Factor B",0.8225
"Factor B",0.3581
"Factor B",0.3676
"Factor B",0.6258
"Factor B",0.2491
"Factor B",0.5426
"Factor B",0.4764
"Factor B",0.944
"Factor B",0.7438
"Factor B",0.893
"Factor B",0.4352
"Factor B",0.6538
"Factor B",0.7357
"Factor B",0.2753
"Factor B",0.1586
"Factor B",0.9205
"Factor B",0.1077
"Factor B",0.2031
"Factor B",0.4036
"Factor B",0.8467
"Factor B",0.8877
"Factor B",0.6795
"Factor B",0.5223
"Factor B",0.7378
"Factor B",0.5272
"Factor B",0.3253
"Factor B",0.1337
"Factor B",0.1678
"Factor B",0.9915
"Factor B",0.2969
"Factor B",0.5462
"Factor B",0.8232
"Factor B",0.7581
"Factor B",0.0626
"Factor B",0.6936
"Factor B",0.5856
"Factor B",0.3722
"Factor B",0.0986
"Factor B",0.7375
"Factor B",0.2371
"Factor B",0.7231
"Factor B",0.9383
"Factor B",0.4069
"Factor B",0.8505
"Factor B",0.154
"Factor B",0.7563
"Factor B",0.738
"Factor B",0.0427999999999999
"Factor B",0.292
"Factor B",0.1626
"Factor B",0.9784
"Factor B",0.000600000000000045
"Factor B",0.5626
"Factor B",0.4555
"Factor B",0.3879
"Factor B",0.3913
"Factor B",0.7833
"Factor B",0.0996
"Factor B",0.2378
"Factor B",0.8727
"Factor B",0.3169
"Factor B",0.1278
"Factor B",0.1065
"Factor B",0.4496
"Factor B",0.196
"Factor B",0.9757
"Factor B",0.6431
"Factor B",0.6426
"Factor B",0.199
"Factor B",0.1179
"Factor B",0.0839
"Factor B",0.0654
"Factor B",0.1109
"Factor B",0.4676
"Factor B",0.5964
"Factor B",0.333
"Factor B",0.8932
"Factor B",0.2701
"Factor B",0.4488
"Factor B",0.9033
"Factor B",0.2437
"Factor B",0.4557
"Factor B",0.8183
"Factor B",0.1495
"Factor B",0.5919
"Factor B",0.4608
"Factor B",0.775
"Factor B",0.6913
"Factor B",0.1025
"Factor B",0.777
"Factor B",0.5074
"Factor B",0.212
"Factor B",0.5717
"Factor B",0.5514
"Factor B",0.2981
"Factor B",0.9543
"Factor B",0.6936
"Factor B",0.7908
"Factor B",0.5522
"Factor B",0.6202
"Factor B",0.494
"Factor B",0.3816
"Factor B",0.7907
"Factor B",0.8761
"Factor B",0.8094
"Factor B",0.5526
"Factor B",0.3226
"Factor B",0.4462
"Factor B",0.4079
"Factor B",0.5429
"Factor B",0.2852
"Factor B",0.0949
"Factor B",0.3342
"Factor B",0.1925
"Factor B",0.5256
"Factor B",0.5582
"Factor B",0.6902
"Factor B",0.9381
"Factor B",0.0493
"Factor B",0.5214
"Factor B",0.8896
"Factor B",0.5373
"Factor B",0.7084
"Factor B",0.1247
"Factor B",0.3637
"Factor B",0.00290000000000001
"Factor B",0.0161
"Factor B",0.7505
"Factor B",0.4313
"Factor B",0.2892
"Factor B",0.963
"Factor B",0.928
"Factor B",0.0161
"Factor B",0.6123
"Factor B",0.0303
"Factor B",0.1294
"Factor B",0.3357
"Factor B",0.7279
"Factor B",0.0732
"Factor B",0.4737
"Factor B",0.8218
"Factor B",0.7683
"Factor B",0.6837
"Factor B",0.7442
"Factor B",0.7647
"Factor B",0.333
"Factor B",0.5416
"Factor B",0.6682
"Factor B",0.3438
"Factor B",0.216
"Factor B",0.7131
"Factor B",0.9338
"Factor B",0.8352
"Factor B",0.0223
"Factor B",0.9034
"Factor B",0.4375
"Factor B",0.1197
"Factor B",0.086
"Factor B",0.5808
"Factor B",0.4722
"Factor B",0.9192
"Factor B",0.5526
"Factor B",0.1488
"Factor B",0.4223
"Factor B",0.7058
"Factor B",0.3407
"Factor B",0.0639
"Factor B",0.2638
"Factor B",0.092
"Factor B",0.1872
"Factor B",0.1259
"Factor B",0.539
"Factor B",0.00939999999999996
"Factor B",0.1179
"Factor B",0.8168
"Factor B",0.4778
"Factor B",0.9537
"Factor B",0.852
"Factor B",0.2208
"Factor B",0.4824
"Factor B",0.6748
"Factor B",0.844
"Factor B",0.5464
"Factor B",0.3757
"Factor B",0.3527
"Factor B",0.7067
"Factor B",0.9027
"Factor B",0.187
"Factor B",0.7
"Factor B",0.1473
"Factor B",0.2924
"Factor B",0.6765
"Factor B",0.4591
"Factor B",0.8495
"Factor B",0.0953000000000001
"Factor B",0.8088
